id	level
G1	L1
G2	L0
G3	L1
G4	L0
G5	L1
G6	L0
G7	L0
G8	L0
G9	L1
G10	L0
G11	L0
G12	L2
G13	L0
G14	L2
G15	L2
G16	L0
G17	L0
G18	L3
G19	L3
G20	L3
G21	L2
G22	L2
G23	L2
G24	L3
G25	L0
G26	L0
G27	L0
G28	L0
G29	META
G30	L1
G31	L4
G32	L0
G33	L0
G34	L3
G35	L0
G36	L4
G37	L2
G38	L2
G39	L2
G40	L2
G41	L4
G42	L1
G43	L2
G44	L4
G45	L2
G46	L4
G47	L3
G48	L2
G49	L2
G50	L2
G51	L2
G52	L2
G53	L2
G54	L2
G55	L1
G56	L2
G57	L2
G58	L1
G59	L2
G60	L2
G61	L1
G62	L0
G63	L0
G64	L2
G65	L3
G66	L3
G67	L1
G68	L1
G69	L1
G70	L0
G71	L2
G72	L0
G73	L0
G74	L0
G75	L0
G76	L3
G77	L2
G78	L3
G80	L3
G81	L1
G82	L3
G83	L0
G84	L2
G85	L2
G86	L2
G87	L4
G88	L2
G89	L1
G90	L2
G91	L2
G92	L0
G93	L2
G94	L3
G95	L3
G96	L2
G97	L2
G98	L1
G99	L2
G100	L0
G101	L3
G102	L1
G103	L2
G104	L3
G105	L0
G106	L3
G107	L3
G108	L4
T1	META
T2	L1
T3	L3
T4	L4
T5	META
T6	L0
T7	L3
T8	L0
T9	L1
T10	L1
T11	L1
T12	L0
T13	L4
T14	L0
T15	L0
T16	L0
T17	L0
T18	L1
T19	L0
T20	L0
T21	L4
T22	L4
T23	L0
T24	L4
T25	L4
T26	L4
T27	L1
T28	L1
T29	L0
T30	L2
T31	L3
T32	L3
T33	L1
T34	L2
T35	L2
T36	L4
T37	L4
T38	L3
T39	L3
T40	L1
T41	L3
T42	L2
T43	L4
T44	L3
T45	L1
T46	L2
T47	L1
T48	L1
T49	L3
T50	L3
T51	L1
T52	L4
T53	L3
T54	L4
T55	L3
T56	L2
T57	L3
T58	L4
T59	L3
T60	L4
T61	L3
T62	L1
T63	L4
T64	L4
T65	L3
T66	L2
T67	L3
T68	L4
T69	L3
T70	L3
T71	L3
T72	L4
T73	L3
T74	L3
T75	L3
T76	L3
T77	L3
T78	META
T79	L1
T80	L1
T81	L2
T82	L1
T83	L3
T84	L3
T85	L4
T86	L1
T87	L3
T88	L1
T89	L2
T90	L1
T91	L4
T92	L4
T93	L0
T94	L2
T95	L1
T96	L1
T97	L2
T98	L2
T99	L2
T100	L2
T101	L2
T102	META
T103	L1
T104	L1
T105	L4
T106	L3
T107	L1
T108	L2
T109	L4
T110	L2
T111	L1
T112	L4
T113	L4
T114	L4
T115	L4
T116	L4
T117	L2
T118	L4
T119	L1
T120	L3
T121	L2
T122	L2
T123	L3
T124	L3
T125	L3
T126	L3
T127	L2
T128	L3
T129	L1
T130	L1
T131	L2
T132	L1
T133	L2
T134	L2
T135	L2
T136	L2
T137	L3
T138	L2
T139	L0
T140	L3
T141	L3
T142	L1
T143	L0
T144	L4
T145	L4
T146	L4
T147	L3
T148	L1
T149	L3
T150	L3
T151	L1
T152	L2
T153	L3
T154	L3
T155	L0
T156	L1
T157	L4
T158	L4
T159	L4
T160	L4
T161	L4
T162	L2
T163	L1
T164	L3
T165	L3
T166	L3
T167	L3
T168	L3
T169	L3
T170	L3
T171	L3
T172	L0
T173	L1
T174	L3
T175	L3
T176	L3
T177	L3
T178	L1
T179	L3
T180	L1
T181	L3
T183	L1
T185	L2
T186	L3
T187	L3
T188	L0
T189	L4
T190	L3
T191	L1
T192	L0
T193	L4
T194	L1
T195	L0
T196	L3
T197	L0
T198	L3
T199	L1
T200	L0
T201	L4
T202	L0
T203	L1
T204	L4
T205	L4
T206	L4
T207	L4
T208	L4
T209	L4
T210	L4
T211	L4
T212	L4
T213	L4
T214	L4
T215	L4
T216	L4
T217	L2
T218	L4
T219	L4
T220	L4
T221	L4
T222	L4
T223	L4
T224	L4
T225	L4
T226	L4
T227	L4
T228	L4
T229	L0
T230	L0
T231	L4
T232	L3
T233	L3
T234	L3
T235	L2
T236	L4
T237	L3
T238	L3
T239	L4
T240	L4
T241	L4
T242	L4
T243	L4
T244	L1
T245	L4
T246	L4
T247	L0
T248	L4
T249	L2
T250	L2
T251	L2
T252	L2
T253	L4
T254	L4
T255	L4
T256	L4
T257	L2
T258	L4
T259	L2
T260	L4
T261	L4
T262	L2
T263	L4
T264	L4
T265	L4
T266	L1
T267	L1
T268	L2
T269	L1
T270	L4
T271	L3
T272	L4
T273	L2
T274	L1
T275	L2
T276	L2
T277	L4
T278	L2
T279	L4
T280	L4
T281	L2
T282	L0
T283	L3
T284	L3
T285	META
T286	L3
T287	L3
T288	L0
T289	L1
T290	L4
T291	L4
T292	L4
T293	L3
T294	L4
T295	L4
T296	L3
T297	L0
T298	L3
T299	L3
T300	L4
T301	L4
T302	L4
T303	L1
T304	L3
T305	L3
T306	L1
T307	META
T308	L3
T309	L3
T310	L4
T311	L3
T312	L4
T313	L4
T314	L2
T315	L4
T316	L4
T317	L3
T318	L3
T319	L1
T320	L4
T321	L3
T322	L4
T323	L4
T324	L4
T325	L4
T326	L4
T327	L1
T328	L3
T329	L3
